Country,Data source,Sector,Gas,Unit,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
World,CAIT,Total including LUCF,All GHG,MtCO₂e,49358.03,49854.98,49440.79,48961.6,48348.77,47802.54,46552.37,44936.19,44952.27,44584.43,43723.5,43354.52,42452.22,40678.67,39824.7,38379.96,37420.92,36810.09,36976.63,37342.5,36025.05,36012.63,35287.61,35079.63,34985.53,35125.44,34967.34
China,CAIT,Total including LUCF,All GHG,MtCO₂e,11576.87,11584.22,11592.12,11570.95,11106.42,10781.3,9788.64,8989.4,8396.81,8102.46,7483.96,6856.61,6132.26,5385.87,4762.98,4452.29,4276.12,4079.24,4128.97,3989.45,3980.48,3946.2,3556.72,3405.73,3182.67,3051.32,2901.78
United States,CAIT,Total including LUCF,All GHG,MtCO₂e,5833.49,5966.46,6097.75,6056.31,5936.09,6235.85,6111.81,5865.86,6267.35,6601.13,6388.86,6477.6,6500.27,6353.16,6321.65,6439.61,6495.12,6365.6,6345.67,6302.58,6069.3,5970.68,5906.32,5819.34,5709.17,5627.95,5669.59
India,CAIT,Total including LUCF,All GHG,MtCO₂e,3235.66,3177.2,3163.7,2994.46,2943.69,2800.43,2457.76,2355.66,2170.72,2078.82,1936.95,1803.32,1728.85,1634.28,1591.5,1569.36,1664.02,1627.12,1548.0,1515.75,1459.04,1413.99,1347.49,1301.28,1269.78,1238.06,1183.05
European Union (27),CAIT,Total including LUCF,All GHG,MtCO₂e,3162.75,3159.91,3103.15,3246.38,3325.05,3384.19,3589.4,3509.53,3781.19,3870.98,3906.12,3927.44,3958.74,3966.86,3876.96,3896.14,3882.67,3884.57,3959.25,4000.46,4078.89,3969.79,3921.19,3937.58,4007.96,4149.93,4229.75
Russia,CAIT,Total including LUCF,All GHG,MtCO₂e,2391.38,2316.81,2414.84,2413.77,2541.38,2478.2,2401.66,2281.07,2616.54,2352.0,2379.41,2492.3,2443.69,2552.06,2381.15,2329.98,2418.99,2352.95,2370.7,2317.88,2508.25,2602.08,2682.66,2965.81,3223.07,3463.01,3559.4
Indonesia,CAIT,Total including LUCF,All GHG,MtCO₂e,2229.0,2779.09,2732.16,2294.46,2319.98,2276.71,2049.35,2475.02,2043.34,2057.19,2681.88,1912.93,2205.43,1822.69,2199.08,1663.98,1406.68,1484.75,1598.72,2390.38,1403.98,1615.02,1583.95,1566.95,1550.51,1529.73,1512.13
Brazil,CAIT,Total including LUCF,All GHG,MtCO₂e,1379.38,1409.94,1413.43,1368.38,1353.14,1307.81,1540.26,1433.19,1454.36,1466.13,1420.95,2015.48,2005.24,1958.83,1945.01,1899.73,1646.96,1650.53,1641.47,1606.56,1575.86,1579.96,1559.95,1543.62,1533.44,1523.47,1496.21
Japan,CAIT,Total including LUCF,All GHG,MtCO₂e,1263.87,1266.66,1297.47,1335.18,1308.39,1261.05,1055.53,1002.88,1065.32,1144.4,1103.33,1224.8,1219.1,1231.65,1225.23,1189.35,1174.85,1159.37,1130.42,1180.48,1194.5,1182.52,1165.8,1111.29,1120.55,1105.54,1092.0
Iran,CAIT,Total including LUCF,All GHG,MtCO₂e,867.96,853.36,858.83,846.81,825.98,817.82,740.76,734.52,710.22,696.8,658.38,609.88,571.07,534.12,504.89,480.14,466.63,447.82,409.93,401.82,384.42,370.19,352.91,320.43,322.1,301.18,260.77
Germany,CAIT,Total including LUCF,All GHG,MtCO₂e,808.73,808.91,803.72,844.05,826.22,812.51,864.72,834.12,892.66,888.29,918.19,906.56,931.26,951.08,952.16,970.63,922.88,932.27,966.78,992.92,1030.96,1002.76,1009.38,1022.25,1029.96,1077.61,1107.23
Canada,CAIT,Total including LUCF,All GHG,MtCO₂e,779.27,861.77,819.39,857.34,791.74,756.74,884.34,800.9,877.95,894.32,882.12,971.7,961.05,1001.57,981.57,903.03,731.3,744.27,809.41,700.96,703.23,708.89,692.69,672.18,673.69,657.88,662.91
Mexico,CAIT,Total including LUCF,All GHG,MtCO₂e,688.38,677.89,655.74,667.84,672.08,681.94,665.54,662.87,678.72,648.26,626.78,611.1,583.84,584.26,557.0,550.63,556.17,529.75,551.2,515.25,487.16,462.6,481.89,456.02,436.36,433.27,415.48
Saudi Arabia,CAIT,Total including LUCF,All GHG,MtCO₂e,663.58,660.58,629.14,585.75,568.12,534.47,515.51,470.82,450.54,412.81,390.25,367.36,349.91,331.49,318.21,297.91,291.53,278.62,271.9,253.56,269.68,255.12,250.08,235.95,227.56,212.82,190.62
South Korea,CAIT,Total including LUCF,All GHG,MtCO₂e,657.4,646.25,624.82,635.55,636.17,631.36,598.0,545.25,531.53,517.49,508.67,505.58,510.14,486.05,478.12,485.32,477.35,419.83,381.94,446.72,420.92,392.98,360.57,333.0,302.12,277.55,252.24
Australia,CAIT,Total including LUCF,All GHG,MtCO₂e,519.09,536.33,537.95,529.26,617.86,617.79,579.14,617.92,597.42,628.77,637.39,622.46,664.4,620.39,688.48,700.99,608.16,589.37,554.16,528.17,517.13,524.11,516.03,513.0,513.32,511.08,511.2
South Africa,CAIT,Total including LUCF,All GHG,MtCO₂e,497.39,495.39,520.54,505.11,496.32,476.14,490.01,482.21,502.33,468.37,447.83,447.08,445.75,417.93,396.8,380.99,345.42,342.28,363.58,355.6,342.3,333.66,323.24,317.25,308.89,311.92,315.93
