ISO3,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,28.230839979464196,28.257352410639502,28.3564328913792,28.554962049430898,28.5978423799993,28.6431304145118,29.085401843565897,29.596849100447198,29.9996183202843,29.836794306532504,29.604164932171802,28.918099889131604,28.9677201366458,29.6806429601619,29.9808642011308,30.800662007002202,30.778757401509104,31.6885442328061,31.495791692258397,32.3157687496793,32.1545677216562,31.540557000458197,31.432674927343196
ALB,43.176820947627704,43.4755383340176,43.2928661003035,43.08236371763921,42.464086238204295,42.4439605430194,42.8527704607315,43.39855396989321,43.429660178429096,43.9974147100869,44.0298276708195,44.511614531004,44.9179831690448,45.6334013292006,48.94205444254379,49.814417502401895,49.857150509108706,49.920494343502796,50.3262749525259,50.8554137284944,51.461240324852895,50.7382548477759,50.62127306887321
DZA,42.3277342854566,42.502006513141,42.506656511099,42.540017111600896,42.8070950271401,43.066779344341604,43.2495409062766,43.4540978095609,43.819492522099,44.38514788139,45.1914152719599,45.1256042884919,44.878679510713205,44.96276570614489,44.776666986059595,44.750152817838895,44.4916983839333,44.3640116995316,44.7305384329722,44.533723910850604,44.717973222027595,44.90859100295079,45.23000237736711
AGO,29.6519990786099,29.688359030789197,29.0126950762977,28.997130535399197,29.3085481092828,29.334682850304,29.868294222673303,30.5726486394218,31.7208642004861,31.8671599769185,32.393513746029896,33.269426143572694,33.571824709081994,33.9224570121266,34.2123798403136,34.4051226218268,34.5264820279164,35.0901787653034,35.2347209871322,35.1843435548433,35.257527604974705,35.4206144416008,35.4190421198608
ATG,48.4817777487799,48.5557803275115,48.747132153341894,48.8803316413762,49.022981713533405,49.20750030981689,49.2637977033233,49.5139720419992,49.77148408016279,49.91958979009421,49.657334207731196,50.1014259498979,49.9914633756836,50.385611762641204,50.6288712733148,50.4404950327081,49.8963387647186,50.719681069886704,50.4193154247294,48.0072680753005,48.3875257213588,48.048007183108304,47.409221474736206
ARG,50.324646598285796,50.4713383591627,50.32208644092879,50.2153386866585,50.2519099610324,50.38303931592179,49.1418630048149,48.1633688520561,48.735303606565,48.622112288576005,50.1911153004712,50.58746470727571,50.9629288603496,50.5290052289758,50.349496056779,50.7191023815192,51.021861633500606,50.5300015453899,50.0933983072397,50.1267513121687,50.306059944266394,51.6533008686322,51.94404595718449
ARM,48.431704039531496,48.4083731040077,48.1608849677956,48.785825090900495,48.7592043992242,49.2186382705276,49.153841565796206,50.505658376342296,51.30545335997461,50.7993200782437,50.7956380001865,50.889325319623005,51.1012225601193,52.472196705324706,52.1497380756131,52.6652111335091,52.05377432930679,51.925855218586705,53.1676895713415,53.3733621243233,53.6107149731985,53.743960774758904,53.7530355505684
AUS,67.81495792300299,67.9467586491282,68.165147572145,68.4368097106688,68.763569100971,69.2283280863251,69.5489845452105,69.5046701796173,69.8000316575738,70.1466314963033,70.1440620742387,70.44925262160491,70.5241156813084,70.64990971102941,70.2261416064517,70.5015411670344,70.8022574540463,70.9910645204104,71.4314325738411,71.0787912280397,70.9077394445243,71.15549288422521,70.9682911005975
AUT,68.0994569057609,68.5925909263517,68.7817941707183,68.9452175876723,69.16697490202539,69.3744527358705,69.77588243651671,70.11535622811421,69.9935627620999,70.20921730963221,70.24940024266911,70.3549502880671,70.6854117249051,70.3488758808888,69.3811968418828,69.1705732397203,69.228699325553,69.39204195056729,69.7825995342365,70.33108308596371,70.42643743139959,70.35806219234101,70.46835230869921
AZE,41.6049204543905,41.5726941463067,41.8724922238279,42.1609281425585,42.2779653112036,42.1146376277409,42.8565138078749,45.044542761429206,45.4245397781551,45.636722389045495,45.95872421282721,45.4579314896939,45.633395725545704,45.5833100640024,48.016971511938706,48.814008149941905,48.8123720263132,48.880792984141294,49.89689690841679,50.1113597751264,50.6071204058467,50.9478553186521,50.97030957973371
BHS,53.1579459945571,53.17501681318149,53.478064353536304,53.7193551268725,53.9422757686261,54.201180237318795,54.4015354959733,54.751377796634905,54.67306162155911,54.81514681641279,54.790593379429396,54.467714939458105,54.6001176247751,54.7392455269215,54.260445489509,53.9467241677895,54.106932078521005,54.3104981841459,53.7594109986405,53.3637109409828,53.067996205884896,52.8414133116205,52.7356368679003
BHR,47.7845397933653,47.9241800916226,48.179820611596206,48.462503337299005,48.6908933992243,48.9125150458639,49.6213425342037,50.331142462323506,50.0681645422962,50.0773912645103,49.6067942315847,49.0762466019041,49.673372954177296,50.139971204752506,50.485578369140605,50.028402069173204,50.2300286614507,49.7646312069334,49.2284837448443,49.39549079852,49.2655556963623,49.185584482889006,48.6858651296239
BGD,33.7867718439124,33.890873433871896,33.8219538628939,34.5448287061568,34.3266191238066,34.1766194834987,34.178456873354996,33.9542765331168,33.899955343201796,33.5812948138582,33.8004797521222,34.499146731181504,34.7322306674475,34.6354677705314,34.7764478207767,34.8378179000232,35.4329815016988,35.1408027012344,34.5639609394582,34.979922886869105,34.994442580809306,35.451680345372296,35.5160761592517
BRB,52.5827989747305,52.5880733324323,52.809356996115106,53.05628213446921,53.1547486947573,53.669588974821394,53.7553844374326,54.186122647639294,54.8292989373439,55.0332571588904,55.2918346011449,55.1420696076556,55.7503959031166,55.7708271117476,55.62192365398211,55.4966475594301,56.1407382884073,55.93168748351089,56.0785832867295,55.1323865466821,55.3446026107367,54.5676738103628,54.605792689259005
BLR,48.3620965393228,48.7283595685995,48.58369918765229,48.7233236922825,48.898735014243606,48.967536595745,49.0146617879759,48.98456189129249,50.323231453834495,50.302110702940794,50.703938641176606,50.53382405545529,51.421215890124394,52.488552888772794,54.489472288535296,55.7441046667278,56.492520804408706,57.8060770954119,57.78830218422689,57.3362439006531,57.25480271561911,57.350202617613704,57.3607612683222
BEL,60.770530245685904,61.0277215768315,60.9789708297931,60.626742678450796,60.7610290407035,61.2128954251673,61.42058767347589,61.838691137072104,61.4664444941697,61.4791845896271,61.7517889124246,61.731097227104996,61.755402581621894,62.0221465615806,62.303644057595704,62.2858831307327,62.376404589492395,62.510582325802496,62.5998362997179,62.0120028307266,61.9913776845344,61.9878270588537,61.7195264059723
BLZ,42.6106333868358,43.0877844614999,42.9549046002779,43.3801724650447,43.268469730481,43.3590676007425,43.4919983572493,43.64352743676889,44.0846507665459,43.497054124152605,43.7741064941452,43.6385949232847,43.428282464571105,43.345812501902294,43.5723221919489,43.290861125898296,42.9276503595913,43.452792646364,43.4182763802431,42.541572604636,42.6333206532064,42.4190429799526,42.3338988678961
BEN,34.6802725537531,35.0129242220401,34.7477638046688,34.9588914054341,35.0336159301268,34.872370335286,34.8473023402479,34.7597050718251,35.0614399307413,34.8167435405927,34.4233600962891,34.8634135913666,35.115925915412,34.815841224094804,34.4796878099861,34.3475361927336,34.6368510068312,34.9894124719001,34.9699191549898,35.5046577874875,36.2326615947401,35.6024069716116,35.656325886515106
BTN,39.927088928112205,39.970954854909394,40.1245422174164,40.4836727229793,40.645518384527605,41.0141066600354,41.150598052427796,40.8422734777158,42.4916611051614,42.283433185868,43.1155329320255,43.2636251535244,43.374118908219,43.392842062284096,43.765668883027,43.1877340544337,43.562769253903596,44.009588048313205,44.2273276165518,45.449740168063606,45.5101057947542,45.6937990449677,46.52780188922879
BOL,37.6032120914523,37.9143464383791,38.008584465942704,38.4281303719517,38.1743085734489,38.0136173041834,38.4132668711064,37.9743199058596,38.1242979029385,38.7642038124218,37.742081481389896,38.2652857715284,38.9836325621234,39.2391687258014,39.316152310216395,40.0134825832481,40.692542444481,40.3967875819343,40.8892985822429,40.4684201209207,40.2666673680438,40.2753600243896,40.3418602968497
