ISO3,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,71.77,71.74,71.64,71.45,71.4,71.36,70.91,70.4,70.0,70.16,70.4,71.08,71.03,70.32,70.02,69.2,69.22,68.31,68.5,67.68,67.85,68.46,68.57
ALB,56.82,56.52,56.71,56.92,57.54,57.56,57.15,56.6,56.57,56.0,55.97,55.49,55.08,54.37,51.06,50.19,50.14,50.08,49.67,49.14,48.54,49.26,49.38
DZA,57.67,57.5,57.49,57.46,57.19,56.93,56.75,56.55,56.18,55.61,54.81,54.87,55.12,55.04,55.22,55.25,55.51,55.64,55.27,55.47,55.28,55.09,54.77
AGO,70.35,70.31,70.99,71.0,70.69,70.67,70.13,69.43,68.28,68.13,67.61,66.73,66.43,66.08,65.79,65.59,65.47,64.91,64.77,64.82,64.74,64.58,64.58
ATG,51.52,51.44,51.25,51.12,50.98,50.79,50.74,50.49,50.23,50.08,50.34,49.9,50.01,49.61,49.37,49.56,50.1,49.28,49.58,51.99,51.61,51.95,52.59
ARG,49.68,49.53,49.68,49.78,49.75,49.62,50.86,51.84,51.26,51.38,49.81,49.41,49.04,49.47,49.65,49.28,48.98,49.47,49.91,49.87,49.69,48.35,48.06
ARM,51.57,51.59,51.84,51.21,51.24,50.78,50.85,49.49,48.69,49.2,49.2,49.11,48.9,47.53,47.85,47.33,47.95,48.07,46.83,46.63,46.39,46.26,46.25
AUS,32.19,32.05,31.83,31.56,31.24,30.77,30.45,30.5,30.2,29.85,29.86,29.55,29.48,29.35,29.77,29.5,29.2,29.01,28.57,28.92,29.09,28.84,29.03
AUT,31.9,31.41,31.22,31.05,30.83,30.63,30.22,29.88,30.01,29.79,29.75,29.65,29.31,29.65,30.62,30.83,30.77,30.61,30.22,29.67,29.57,29.64,29.53
AZE,58.4,58.43,58.13,57.84,57.72,57.89,57.14,54.96,54.58,54.36,54.04,54.54,54.37,54.42,51.98,51.19,51.19,51.12,50.1,49.89,49.39,49.05,49.03
BHS,46.84,46.82,46.52,46.28,46.06,45.8,45.6,45.25,45.33,45.18,45.21,45.53,45.4,45.26,45.74,46.05,45.89,45.69,46.24,46.64,46.93,47.16,47.26
BHR,52.22,52.08,51.82,51.54,51.31,51.09,50.38,49.67,49.93,49.92,50.39,50.92,50.33,49.86,49.51,49.97,49.77,50.24,50.77,50.6,50.73,50.81,51.31
