"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG","Afghanistan",,,,,,,,860.137133923461,909.862557582314,906.664470315935,1001.41040692471,1052.92448182459,1196.96386262158,1236.87476594352,1474.47947703093,1659.5075507242,1649.15037334293,1832.73463920599,1902.50841007369,1927.08732032823,1918.93845913956,1934.61684034895,1972.17801844618
"ALB","Albania",2666.24923457703,2980.4474113611,2717.36485892663,3021.0068056465,3471.66172709503,3861.35338261319,4301.33230252253,4661.36614839991,4994.52406577239,5422.77025195427,5865.31050445752,6559.7778957922,7276.30776820991,8228.31816790424,8814.84716030687,9627.93728995906,10207.7188873613,10526.2801264992,10571.0036529401,11259.2797230131,11661.981184261,11890.5003913316,12943.460705263
"DZA","Algeria",6777.2977776211,7060.0955238735,7144.43258068079,7477.97130873803,7725.88372231708,8093.53089306002,8416.75268223159,8911.68068021151,9621.16094702921,10176.6756327083,10971.8468673725,11332.7898984189,11843.7192081941,12162.2643470867,12242.178137001,12610.2480535971,12990.345016498,13404.4117836409,13715.7435787744,14203.89540132,14614.9704290449,15013.2963798624,15260.3541833902
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",2428.37337944157,2728.58559180877,2896.9230714261,2983.60948200587,3008.90394203931,3076.63231237634,3174.38339582682,3540.69927102179,3590.40791608855,3949.49377281797,4524.51925266765,5019.8089207696,5669.65352736761,6201.40188212629,6081.32919033157,6228.34291239121,6346.94437233055,6770.66841714073,6970.31360385729,7182.82779837655,7082.24117532182,6756.14413736881,6643.75497179095
"ATG","Antigua and Barbuda",12012.9071384125,12693.72326202,13247.5747964166,13653.9824319087,14029.0874122026,14987.4110722773,14317.2385586933,14480.0799794187,15479.2218538333,16633.5444564969,18065.8050805752,20747.375649075,22996.7058709434,23162.6858525454,20271.0862229446,18824.0729240119,18605.3165854008,19398.059497247,19480.1168660026,20532.815285372,21364.5928083161,22611.2846490098,23472.30671447
"ARG","Argentina",10129.7777926836,10754.198418916,11688.7464014871,12132.5103928877,11769.1499747988,11810.0613643332,11419.0588662652,10217.2730997834,11217.5719276888,12430.7137249452,13817.7140737884,15227.5124961234,16865.5447595212,17711.4417867571,16618.1208523782,18333.5436985461,19629.3518451916,19579.0064837139,20161.4968324254,19802.1000113587,20356.9155095569,20042.5400197144,20784.7683113948
"ARM","Armenia",1584.60046971304,1734.65530236427,1843.37854477079,2015.1055748351,2126.91516905879,2318.23807343875,2613.78456721754,3020.45398677047,3531.96864294857,4031.94720413531,4769.48900409301,5607.64586915666,6605.21669618147,7260.96875587368,6323.57833605451,6567.25858179835,7022.10394338388,7649.49140943212,7997.38712834991,8397.09917747652,8727.55832503575,8832.76343454986,9647.4861130568
"AUS","Australia",20890.1705323848,21962.5230839891,22924.1264031761,24176.0620974682,25250.5128548919,26316.9478781358,27348.1467588511,28706.4378056749,29678.4892945622,31311.6369353764,32539.0815705167,34291.2877576211,36512.5038384729,37409.163067008,40234.4179183421,39274.7642268777,41894.1730524786,42733.9362506181,45794.4042715848,46742.8026541949,46220.2512642307,46144.120814482,48460.04927536
"AUT","Austria",23658.7710808346,24523.8834591077,25412.3675952472,26652.8315743635,27606.4830303088,29375.4047955407,29739.9415290309,31178.6933297272,32106.4660049647,33755.1429267927,35013.7140443423,37627.9709197097,39385.7422696764,41316.225176699,40919.1505775576,42047.0326758635,44452.7327457999,46457.3457770311,47922.0491207455,48787.4915916798,49883.0412977321,50521.4826240632,52397.7543507726
"AZE","Azerbaijan",2420.44486439699,2471.58587927038,2634.15863088586,2901.35167222535,3136.09389310517,3534.32914766215,3942.08488219485,4393.96719931842,4945.90791637216,5551.44884183018,7169.15043103855,9830.16260573873,12477.3846859443,13799.7861400733,14900.5086642522,15627.6056198817,15754.1523626148,16180.8871503047,17171.7613655507,17608.3706329028,17782.0261527141,17256.6269704411,17398.1635635792
"BHS","Bahamas",20576.6573111467,21557.1291177123,22130.2684504633,23175.9848200419,24910.1012548108,26149.417144362,26972.6720452817,27579.5394604408,27194.1481535347,27596.0255057994,28849.7299556591,29887.1018526489,30535.500500119,29857.2715580086,28325.8786827257,28630.870368075,28941.0282297787,29937.1021672165,29878.0470407833,29977.565612183,30249.7382259305,29779.7979962432,30430.1694807172
