"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG","Afghanistan",0.920416066420992,0.925387613153125,0.930091901872805,0.93353853626948,0.935906248799498,0.938077516637726,0.935607644007286,0.9307848436485,0.924791296481458,0.9181794516212,0.910816173126842,0.914807412249057,0.918638723011149,0.92134625622729,0.921881448820484,0.919756214656449,0.908999151919766,0.894583102180825,0.877638338160367,0.859557866947639,0.841103930625783,0.825148827333791,0.810422086432677
"ALB","Albania",0.638483487770431,0.62851331413676,0.619659728796729,0.611555747184263,0.603128676517894,0.593424400203448,0.583140200560932,0.571649369459948,0.559140719395032,0.54625979865652,0.53338497472044,0.520240369956199,0.509268034271943,0.4999842098447,0.492240124131291,0.486080155307998,0.469202223687405,0.454123024230491,0.440445239279946,0.428747375246692,0.420225167914549,0.420039345982051,0.420753043601443
"DZA","Algeria",0.747099368458627,0.725823554389443,0.702188246821631,0.676903248223086,0.651176477616901,0.625885728368656,0.598426675531436,0.572962671955752,0.549387359975409,0.527740134354677,0.508649965907484,0.494275285596743,0.483681665745264,0.476859799403286,0.473733397164973,0.474276447722584,0.480958332705663,0.488572766142573,0.497838536958826,0.508996553771939,0.521452130118125,0.53431947359089,0.546324426466871
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.926653928948726,0.926791139026944,0.925192278878219,0.922181160832585,0.918193044962726,0.913821215527528,0.914010153447005,0.912975459304187,0.911225570089383,0.909076831087078,0.906685632387881,0.908760139469212,0.90967430882973,0.909727518104287,0.909054994252115,0.907697621904199,0.908799235069665,0.908216247041675,0.906525769338221,0.904235262252186,0.901481134567957,0.899500201690462,0.897027296406494
"ATG","Antigua and Barbuda",0.611944966471263,0.594917529026078,0.581681979802412,0.572720711772109,0.566963820835294,0.561660040630566,0.555567488051911,0.547787174250415,0.541222666232058,0.538028686564981,0.537962668103982,0.529594138017971,0.521080565674779,0.511831104583197,0.501322415165794,0.489293951574027,0.47823714351038,0.466153983358908,0.454084096029162,0.443504390089476,0.435013353988148,0.430053068098853,0.42695415801875
"ARG","Argentina",0.627771200012573,0.62355882389787,0.619575478557332,0.61581052129486,0.611904541110516,0.607706603946204,0.602901072804938,0.598723650664278,0.594742209435119,0.590398849107807,0.585532793447513,0.582335860670041,0.57795551815269,0.573173998563471,0.569123299764244,0.566341190650139,0.564416167661902,0.563642375354606,0.563529654533759,0.563230524241456,0.562345614978347,0.562275082172258,0.561361845110052
"ARM","Armenia",0.601116204971912,0.597535349075656,0.589552698996793,0.578355212875004,0.566181849234915,0.554791872994449,0.539762385396097,0.528342073767841,0.518489290805599,0.506886554827258,0.491754087480648,0.478286103853924,0.46072261221367,0.441990868050204,0.426625765476255,0.417432143332766,0.413319834663863,0.412916254125385,0.415756820705708,0.42022530195829,0.42508864810581,0.430986482057911,0.437497169173464
"AUS","Australia",0.493745563702038,0.494178796131393,0.493073944154344,0.491038141093585,0.489149673186637,0.487923662018482,0.484492536969376,0.481423071163428,0.478742788538132,0.47639456791211,0.474633718059741,0.47060705070122,0.46749170430074,0.466075693147554,0.466596082641122,0.468802349764953,0.475431308772699,0.481840630624055,0.48843368952881,0.495569638584138,0.503286352825428,0.511951214974886,0.521281334068288
"AUT","Austria",0.480146371769672,0.480975739620015,0.477710703851327,0.471834135084409,0.466181906064466,0.462500207710863,0.460098465273767,0.459495735474709,0.460185263800399,0.460959812022528,0.461273555571774,0.463383586365556,0.465094353444764,0.466550079918329,0.468149245191157,0.470119153090825,0.471685290891668,0.473477830353481,0.475811311751278,0.478545346014888,0.481506788519588,0.485681040688029,0.490013040337896
