"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG","Afghanistan",0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.4708,0.5106,0.5504,0.5902,0.63,0.702,0.701,0.856,0.8198,0.7836,0.7474,0.7112,0.675,0.675,0.675,0.675
"ALB","Albania",5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.176,5.108,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04
"DZA","Algeria",3.286,3.286,3.286,3.286,3.286,3.286,3.286,3.286,3.252,3.218,3.184,3.15,3.116,3.12866666666667,3.14133333333333,3.154,3.154,3.154,3.154,3.154,3.154,3.154,3.154
"AND","Andorra",7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.896,7.3235,6.751,8.765,8.6382,8.5114,8.3846,8.2578,8.131,8.131,8.131
"AGO","Angola",1.051,1.051,1.051,1.06314285714286,1.07528571428571,1.08742857142857,1.09957142857143,1.11171428571429,1.12385714285714,1.136,1.226,1.316,1.406,1.496,1.586,1.586,1.586,1.586,1.586,1.586,1.586,1.586,1.586
"ATG","Antigua and Barbuda",3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222,3.222
"ARG","Argentina",3.802,3.802,3.802,3.802,3.75933333333333,3.71666666666667,3.674,3.66533333333333,3.65666666666667,3.648,3.648,3.648,3.648,3.648,3.648,3.648,3.648,3.648,3.648,3.648,3.648,3.648,3.648
"ARM","Armenia",8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.567,8.127,7.687,7.709,7.731,7.753,7.775,7.797,7.797,7.797,7.797
"AUS","Australia",12.846,12.846,12.7182,12.5904,12.4626,12.3348,12.207,12.456,12.705,12.954,13.203,13.452,13.0116666666667,12.5713333333333,12.131,12.94,13.749,14.558,15.715,15.715,15.715,15.715,15.715
"AUT","Austria",12.762,12.762,12.762,12.762,12.762,12.762,12.762,12.762,12.762,11.9113333333333,11.0606666666667,10.21,10.436,10.8388571428571,11.2417142857143,11.6445714285714,12.0474285714286,12.4502857142857,12.8531428571429,13.256,13.256,13.256,13.256
"AZE","Azerbaijan",12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.04,12.214,12.17,12.126,11.6514,11.1768,10.7022,10.2276,9.753,9.753,9.753,9.753
"BHS","Bahamas",5.637,5.637,5.637,5.637,5.744,5.851,5.958,6.065,6.172,6.279,6.386,6.493,6.6,6.707,6.707,6.707,6.707,6.707,6.707,6.707,6.707,6.707,6.707
"BHR","Bahrain",3.988,3.988,3.988,3.988,3.988,3.988,4.185,4.002,3.96,3.8925,3.825,3.802,3.6755,3.549,3.458,3.354,3.369,3.351,3.369,3.384,3.384,3.384,3.384
"BGD","Bangladesh",0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.532,0.554,0.576,0.584,0.478,0.497,0.518,0.54,0.572,0.602,0.602,0.602,0.602,0.602,0.602
"BRB","Barbados",6.484,6.0905,5.697,5.3035,4.91,7.216,7.389,7.184,6.979,6.774,6.569,6.5886,6.6082,6.6278,6.6474,6.667,6.667,6.667,6.667,6.667,6.667,6.667,6.667
"BLR","Belarus",17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.429,15.759,14.089,14.2658,14.4426,14.6194,14.7962,14.973,14.973,14.973,14.973
"BEL","Belgium",12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989,12.989
"BLZ","Belize",2.24,2.24,2.24,2.24,2.24,2.24,2.27822222222222,2.31644444444444,2.35466666666667,2.39288888888889,2.43111111111111,2.46933333333333,2.50755555555556,2.54577777777778,2.584,2.787,2.787,2.787,2.787,2.787,2.787,2.787,2.787
"BEN","Benin",0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.791,0.812,0.833,0.854,0.842,0.83,0.824,0.818,0.75,0.75,0.75,0.75,0.75
"BTN","Bhutan",0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,1.00233333333333,1.00666666666667,1.011,1.204,0.73405,0.2641,0.75755,1.251,1.3255,1.4,1.4,1.4,1.4
"BOL","Bolivia, Plurinational State of",3.345,3.345,3.345,3.345,3.345,3.345,3.345,2.94616666666667,2.54733333333333,2.1485,1.74966666666667,1.35083333333333,0.952,1.06366666666667,1.17533333333333,1.287,1.479,1.479,1.479,1.479,1.479,1.479,1.479
"BIH","Bosnia and Herzegovina",6.108,6.108,6.108,6.108,6.108,6.108,6.108,6.108,6.108,6.108,6.108,6.254,6.4,6.546,6.692,6.692,6.692,6.692,6.692,6.692,6.692,6.692,6.692
"BWA","Botswana",2.795,2.795,2.795,2.795,3.219,2.774,2.555,2.621,2.749,2.978,2.647,2.953,3.0725,3.192,3.243,3.18,3.1455,3.111,3.111,3.111,3.111,3.111,3.111
"BRA","Brazil",2.788,3.087,3.333,3.535,3.897,4.876,4.349,4.755,5.083,5.255,5.379,5.405,8.159,8.141,8.605,9.069,9.14466666666667,9.22033333333333,9.296,9.296,9.296,9.296,9.296
"BRN","Brunei Darussalam",4.937,4.937,4.937,4.937,4.937,4.937,6.138,7.339,7.0265,6.714,6.621,6.435,6.164,6.578,6.229,8.822,9.378,9.665,9.665,9.665,9.665,9.665,9.665
"BGR","Bulgaria",8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.23,8.345,8.355,8.43983333333333,8.52466666666667,8.6095,8.69433333333333,8.77916666666667,8.864,8.864,8.864,8.864
"BFA","Burkina Faso",0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.5045,0.452,0.427,0.402,0.449,0.599,0.494,0.677,0.677,0.677,0.677,0.677,0.677
"BDI","Burundi",0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202,0.202
"KHM","Cambodia",1.168,1.168,1.1595,1.151,1.1155,1.08,1.08075,1.0815,1.08225,1.083,1.08375,1.0845,1.08525,1.086,1.088,1.082,1.096,1.085,1.124,1.124,1.124,1.124,1.124
"CMR","Cameroon",1.651,1.651,1.651,1.651,1.651,1.651,1.651,1.651,1.651,1.651,0.428,0.464,0.5,0.4735,0.447,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603
"CAN","Canada",12.059,12.059,12.059,12.059,12.0096666666667,11.9603333333333,11.911,11.379,11.597,11.815,11.88,11.945,12.104,12.263,11.8195,11.376,11.5686666666667,11.7613333333333,11.954,11.954,11.954,11.954,11.954
"CPV","Cape Verde",,,,,,,,,,,,,,,,,,,,,,,
"CAF","Central African Republic",0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.424,0.361,0.298,0.235,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299
"TCD","Chad",0.074,0.074,0.074,0.076,0.089,0.153,0.188,0.223,0.258,0.293,0.2545,0.216,0.233666666666667,0.251333333333333,0.269,0.286666666666667,0.304333333333333,0.322,0.353,0.353,0.353,0.353,0.353
