"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG","Afghanistan",,,,,,,0.431,,,,,0.63,0.702,0.701,0.856,,,,,0.675,,,
"ALB","Albania",,,,,,,,,,,,,5.176,,5.04,,,,,,,,
"DZA","Algeria",,,,,,,,3.286,,,,,3.116,,,3.154,,,,,,,
"AND","Andorra",,,,,,,,,,,,7.51,7.896,,6.751,8.765,,,,,8.131,,
"AGO","Angola",,,1.051,,,,,,,1.136,,,,,1.586,,,,,,,,
"ATG","Antigua and Barbuda",,,,,3.222,,,,,,,,,,,,,,,,,,
"ARG","Argentina",,,,3.802,,,3.674,,,3.648,,,,,,,,,,,,,
"ARM","Armenia",,,,,,,,,,,,8.62,8.567,,7.687,,,,,7.797,,,
"AUS","Australia",,12.846,,,,,12.207,,,,,13.452,,,12.131,,,14.558,15.715,,,,
"AUT","Austria",,,,,,,,,12.762,,,10.21,10.436,,,,,,,13.256,,,
"AZE","Azerbaijan",,,,,,,,,,,,12.04,12.214,,12.126,,,,,9.753,,,
"BHS","Bahamas",,,,5.637,,,,,,,,,,6.707,,,,,,,,,
"BHR","Bahrain",,,,,,3.988,4.185,4.002,3.96,,3.825,3.802,,3.549,3.458,3.354,3.369,3.351,3.369,3.384,,,
"BGD","Bangladesh",,,,,,,,,0.532,,0.576,0.584,0.478,0.497,0.518,0.54,0.572,0.602,,,,,
"BRB","Barbados",6.484,,,,4.91,7.216,7.389,,,,6.569,,,,,6.667,,,,,,,
"BLR","Belarus",,,,,,,,,,,,17.29,17.429,,14.089,,,,,14.973,,,
"BEL","Belgium",,,,,,,,,,,,,,,,12.989,,,,,,,
"BLZ","Belize",,,,,,2.24,,,,,,,,,2.584,2.787,,,,,,,
"BEN","Benin",,,,,,,,,,0.77,,,,0.854,,0.83,,0.818,0.75,,,,
"BTN","Bhutan",,,,,,,,,,0.998,,,1.011,1.204,,0.2641,,1.251,,1.4,,,
"BOL","Bolivia, Plurinational State of",,,,,,,3.345,,,,,,0.952,,,1.287,1.479,,,,,,
"BIH","Bosnia and Herzegovina",,,,,,,,,,,6.108,,,,6.692,,,,,,,,
"BWA","Botswana",,,,2.795,3.219,2.774,2.555,2.621,2.749,2.978,2.647,2.953,,3.192,3.243,3.18,,3.111,,,,,
"BRA","Brazil",2.788,3.087,3.333,3.535,3.897,4.876,4.349,4.755,5.083,5.255,5.379,5.405,8.159,8.141,,9.069,,,9.296,,,,
"BRN","Brunei Darussalam",,,,,,4.937,,7.339,,6.714,6.621,6.435,6.164,6.578,6.229,8.822,9.378,9.665,,,,,
"BGR","Bulgaria",,,,,,,,,,,,8.23,8.345,8.355,,,,,,8.864,,,
"BFA","Burkina Faso",,,,,,,,,,0.557,,0.452,,0.402,0.449,0.599,0.494,0.677,,,,,
"BDI","Burundi",,,,,,,,,,0.202,,,,,,,,,,,,,
"KHM","Cambodia",,1.168,,1.151,,1.08,,,,,,,,1.086,1.088,1.082,1.096,1.085,1.124,,,,
"CMR","Cameroon",,,,,,,,,,1.651,0.428,,0.5,,0.447,0.603,,,,,,,
"CAN","Canada",,,,12.059,,,11.911,11.379,,11.815,,11.945,,12.263,,11.376,,,11.954,,,,
"CPV","Cape Verde",,,,,,,,,,,,,,,,,,,,,,,
"CAF","Central African Republic",,,,,,,,,,0.487,,,,0.235,0.299,,,,,,,,
"TCD","Chad",,,0.074,0.076,0.089,0.153,,,,0.293,,0.216,,,,,,0.322,0.353,,,,
"CHL","Chile",,,,,,,,1.015,1.085,1.122,1.117,1.188,1.182,1.19,1.178,,,,,,,,
"CHN","China",2.091,2.119,2.155,2.165,2.21,2.247,2.138,2.098,,,,,,,2.804,2.981,3.155,3.419,,,,,
"COL","Colombia",,1.677,1.719,1.778,1.826,,,1.989,,,2.048,2.083,2.117,2.153,2.188,2.224,,,,,,,
"COM","Comoros",,,,,,,,,,1.164,,,,,,,,,,,,,
"COG","Congo",,,,9.928,,,,,,1.298,,1.674,1.048,,,0.919,,,,,,,
"COD","Congo, the Democratic Republic o",,,,,,,,,,0.636,,,,,1.052,,,,,,,,
"CRI","Costa Rica",,,,,,2.257,,,,,,,,,,,,,1.946,,,,
"CIV","Cote d'Ivoire",,,,,,,,,,0.689,0.59,,,0.622,,0.627,,,,,,,
"HRV","Croatia",,,,,,,,,,,,7.93,8.17,,,,,,,9.267,,,
"CUB","Cuba",,,,,,,,13.497,,,,,15.085,,,15.876,,15.358,15.143,15.495,,,
"CYP","Cyprus",5.177,,,,,,,,,,,,5.414,5.504,5.611,,,,,6.404,,,
"CZE","Czech Republic",,,,,,,,,,,,12.51,12.564,12.175,,,,,,,,,
"DNK","Denmark",,9.828,17.107,10.783,,,20.859,,17.868,17.558,18.193,12.919,17.959,18.87,19.395,,,,20.458,,,,
"DJI","Djibouti",,,,,0.825,,,,,0.554,0.758,,,,,1.029,,,,0.786,,,
"DMA","Dominica",,,5.017,,,,8.068,,,,,,,,,,,,,,,,
"DOM","Dominican Republic",,,,,,3.623,,,,,,,,,,,2.828,,,,,,
"ECU","Ecuador",2.853,3.019,3.041,2.955,3.036,3.082,3.142,3.211,3.039,,,,,,3.497,3.67,3.749,,,,,,
"EGY","Egypt",,,,,,,,,,,,,,,,6.35,,,,2.248,,,
"SLV","El Salvador",,,,,1.939,,,2.22,,,2.091,,,2.41,,2.001,,,,,,,
"GNQ","Equatorial Guinea",,,,,,,,,,0.699,,,,,,,,,,,,,
"ERI","Eritrea",,,,,,,,,,0.669,,,,,,,,,,,,,
"EST","Estonia",,,,,,13.012,,,,,,10.31,,10.229,,,,,,9.287,,,
"ETH","Ethiopia",,,,,,,,,0.242,0.236,0.278,0.254,0.246,0.227,0.277,0.258,,,,,,,
"FJI","Fiji",,,,,2.29,,,,2.498,,,,,2.516,2.734,2.668,,,,,,,
"FIN","Finland",,,,,,,,18.237,,,,12.22,18.839,,,,,17.576,,,,,
"FRA","France",,9.322,,,,,,,,,,,11.757,,,,,,,,13.832,,
"GAB","Gabon",,,,,,,,,,5.323,,,,,,,,,,,,,
"GMB","Gambia",,,,,,,,,1.509,0.617,0.623,0.624,0.925,0.999,,0.606,,,,,,,
"GEO","Georgia",,,,,,,,,,,,8.68,8.428,7.978,8.033,,,,,8.597,,,
"DEU","Germany",,,,,,,,,13.089,,,11.431,,14.351,,,,,,17.604,,,
"GHA","Ghana",,,,,,,,,,1.101,,,,1.1,1.139,1.022,,,,,,,
"GRC","Greece",,,,,,8.164,,,,,8.6,8.826,,9.703,,,,,,9.695,,,
"GRD","Grenada",,,,,4.466,4.173,4.163,4.153,4.142,,,4.522,,,,,,,,,,,
"GTM","Guatemala",,,,,,,,,,,,,,,1.761,,,,,,,,
"GIN","Guinea",,,,,,0.519,,,,0.57,,,,,,,,,,,,,
"GNB","Guinea-Bissau",,,,,,,,,,0.88,,,,0.66,0.731,0.596,,,,,,,
"GUY","Guyana",,,,,,2.835,,,,,,,,,1.531,0.744,,,,,,,
"HTI","Haiti",,,,0.337,,,,,,,,,,,,,,,,,,,
"HND","Honduras",,,,,,1.955,,,,,1.523,,,,,,,,,,,,
"HUN","Hungary",,,,,,,,,,,,,,,,,,,,9.884,,,
"ISL","Iceland",,,,,,17.431,17.441,17.615,17.98,18.012,18.359,18.28,18.771,19.785,20.004,,,,,,20.144,,
"IND","India",,,,,,1.696,1.723,,1.812,1.836,1.871,,1.933,1.995,2.026,2.202,2.442,,,,,,
"IDN","Indonesia",,,,,,,,,0.951,,,,2.329,,0.96,1.202,,1.566,,,,,
"IRN","Iran, Islamic Republic of",,,,,,,,,,2.266,2.28,,,,,2.3,,,,3.042,,,
"IRQ","Iraq",,,,,,,,,,,1.98,,1.577,,,,,,,2.664,,,
"IRL","Ireland",,,,,,,,,,17.983,,22.39,18.839,,,,15.023,,,,,,
"ISR","Israel",12.995,,,,,,,,,,,9.89,9.783,,,,,,,8.883,,,
"ITA","Italy",,,,,,,,,9.54,,,10.632,,,,,,,,10.42,,,
"JAM","Jamaica",,,,,,,,,2.501,,,,,1.484,,,,,,,,,
"JPN","Japan",,9.816,,10.323,,10.815,,11.269,,11.683,,12.097,,12.647,,12.599,,13.094,,,,,
"JOR","Jordan",,,,4.064,5.194,5.273,5.472,5.41,5.664,5.722,5.689,6.065,5.93,5.651,6.191,6.424,,,,5.507,,,
"KAZ","Kazakhstan",,,,,,,,,,,,11.52,11.707,,11.963,,,,11.492,,,,
"KEN","Kenya",,,,,,,,,,,,,,0.541,0.582,0.913,0.977,1.016,1.067,,,,
"KIR","Kiribati",,,,,,,,,,,,,,3.921,3.85,4.082,,,4.819,,,,
"PRK","Korea, Democratic People's Repub",,,,,,,,,,,,,,,,,,,,,,,
"KOR","Korea, Republic of",,,,,,,,,3.32,6.184,6.463,6.693,6.965,7.225,7.491,6.684,6.841,7.005,7.463,7.901,,,
"KWT","Kuwait",,,,,,,,,,,5.5,5.571,6.123,6.437,6.557,6.926,,,,7.337,,,
"KGZ","Kyrgyzstan",,,,,,,,,,,,8.18,7.963,7.939,7.889,,,,7.845,,,,
"LAO","Lao People's Democratic Republic",1.595,,,,,1.305,,,,1.343,1.277,,,,1.062,1.238,,1.041,,,,,
"LVA","Latvia",8.572,8.559,8.305,7.933,7.768,7.843,7.643,7.757,7.908,8.163,8.33,8.378,8.33,8.782,8.168,,,,,8.255,,,
"LBN","Lebanon",,,,,,,4.661,,,,,,4.435,,,4.698,5.491,,,4.942,,,
"LSO","Lesotho",,,,,,,,,0.638,,,,,,,,,,,,,,
"LBR","Liberia",,,,,,,,,,0.357,,,,0.28,,0.297,,,,,,,
"LBY","Libyan Arab Jamahiriya",,,4.771,,,,,,,6.002,,,,7.293,8.857,8.7,,,,8.997,,,
"LIE","Liechtenstein",,,,,,,,,,,,,,,,,,,,,,,
"LTU","Lithuania",,,,,,,,,,,,11.6,11.601,10.984,,,,,,12.281,,,
"LUX","Luxembourg",,,,,,,,,,12.36,13.218,,,,,,,,,,15.246,,
"MKD","Macedonia",,,,,,,,,,,,6.886,,3.239,,,,,7.011,,,,
"MDG","Madagascar",,,,,,,,0.449,0.452,0.443,0.532,0.474,0.477,0.469,0.426,0.42,0.363,0.361,,,,,
"MWI","Malawi",,,,,,,,,,0.606,,,,0.298,0.354,0.302,,,,,,,
