"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG","Afghanistan",0.00999999977648258,0.00999999977648258,0.00999999977648258,0.0219771377742291,0.179634585976601,0.959755897521973,0.77653694152832,6.26739358901977,11.7519664764404,17.2363185882568,23,28.2286128997803,33.7486801147461,42.4,44.8548851013184,42.7,43.2220189082037,69.1,67.2595520019531,89.5,71.5,84.1371383666992,84.1371383666992
"ALB","Albania",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"DZA","Algeria",98.7707138061524,98.8460083007812,98.906005859375,98.9476470947266,98.9678802490234,98.9651565551758,98.9440231323242,98.9105377197266,98.8707733154297,98.8307876586914,98.7966461181641,98.7744140625,98.7701416015625,99.3,98.8276748657227,98.8849716186523,98.9572982788086,98.7646604654583,99.1349868774414,99.2343444824219,99.3367080688477,99.439567565918,99.439567565918
"AND","Andorra",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AGO","Angola",17.2730312347412,18.4235019683838,19.5586757659912,20.6754951477051,21.7709007263184,22.843355178833,20,24.939094543457,25.9745082855225,27.0097007751465,28.0507354736328,29.1036758422852,37.5,31.2680130004883,32.3824691772461,33.514949798584,34.6,35.821964263916,36.9904899597168,32,42,40.5206069946289,40.5206069946289
"ATG","Antigua and Barbuda",87.7500915527344,88.2508926391602,88.7364044189453,89.2035522460938,89.6492919921875,90.0720825195313,90.4764556884765,90.8684844970703,91.2542343139648,91.639762878418,92.2,92.4344024658203,92.8556442260742,93.2994079589844,93.7641983032227,94.2470092773438,94.5520140336941,95.2546920776367,95.773551940918,96.2984161376953,96.8262939453125,97.3546676635742,97.3546676635742
"ARG","Argentina",93.0224609375,93.4742126464844,93.9106750488281,94.3287734985352,94.7254638671875,95.0992050170898,95.5110634674458,95.7975082397461,96.1342086791992,96.4706802368164,96.8129959106445,97.1672210693359,97.5394134521484,97.9341278076172,98.3633651733398,98.82,99.2161636352539,99.5844116210938,99.8371276855469,99.9592437744141,99.9952087402344,100,100
"ARM","Armenia",98.5046539306641,98.6444702148438,98.7690277099609,98.8755035400391,98.9620666503906,98.9,100,98,99.1483154296875,99.1796951293945,99.8,99.2657318115234,99.3310394287109,99.4156494140625,99.5198135375976,99.8,99.7671508789062,99.8788757324219,99.9540557861328,99.9889755249023,100,100,100
"AUS","Australia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AUT","Austria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"AZE","Azerbaijan",97.3050918579102,97.5674896240234,97.8145904541016,98.0276184082031,97,98.9082224496759,98.5917816162109,100,98.9018249511719,99.0534973144531,99.2109756469727,99.5,99.562141418457,99.7418060302734,99.8847351074219,99.9656753540039,99.9,99.9997100830078,100,100,100,100,100
"BHS","Bahamas",93.3550720214844,93.8432769775391,94.3161849975586,94.7707290649414,95.2038726806641,95.6140518188477,96.065547,96.38525390625,96.7583999633789,97.1313247680664,97.5100936889648,97.900764465332,98.3253021240234,98.7536849975586,99.1822662353516,99.5609893798828,99.8256530761719,99.9557952880859,99.9947357177734,100,100,100,100
"BHR","Bahrain",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"BGD","Bangladesh",20.7627086639404,23.1817989349365,22.4,27.9710369110107,30.3350658416748,32,34.9988059997559,37.3091239929199,39.6131591796875,40.6,44.23,50.5251024590164,46.5,51.2497749328613,53.6328544616699,55.26,59.6,60.8782157897949,61.5,62.4,68.2046813964844,75.92,75.92
"BRB","Barbados",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"BLR","Belarus",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"BEL","Belgium",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"BLZ","Belize",89.0566482543945,89.2504577636719,89.4289703369141,89.5891265869141,89.7278671264649,89.8436584472656,89.9410400390625,90.0260772705078,90.1048278808594,90.1833572387695,90.2677307128906,90.9885308574549,90.4782562255859,90.6150207519531,90.7728118896484,89.9172243747798,91.6817359855335,91.3423233032227,91.5541839599609,91.7720565795898,91.8,92.2143173217773,92.2143173217773
"BEN","Benin",14.1419849395752,14.5,16.8098239898682,18.1177425384521,19.4042453765869,20.6677970886231,21.9,23.1457328796387,24.3722438812256,25.5985355377197,26.8306674957275,27.9,29.3367118835449,30.6212387084961,31.9267921447754,34.2,36.9,38.4,37.2992057800293,34.1,40.0334777832031,41.4026145935059,41.4026145935059
"BTN","Bhutan",12.6805810928345,17.1647396087647,21.6336002349854,26.0841083526611,30.5132007598877,34.9193420410156,39.3070755004883,43.6824569702148,41.1,52.4204368591308,59.8081116441343,61.1817893981934,71.8,70.0135040283203,74.4616470336914,73.2829108748978,83.4089965820313,91.5,92.4044189453125,96.9126434326172,98.4235229492188,100,100
"BOL","Bolivia, Plurinational State of",63.7062683105469,71,67.330431,71.2,70.929888,69.963045,69.258539,63.996855,72.3,76.0509185791016,68.288209,76.211281,80.156567,84.674991,86.765597,84.2948150634766,88.335943,90.387375,89.505686,90.038729,91.522822,93.0391311645508,93.0391311645508
"BIH","Bosnia and Herzegovina",97.9859390258789,98.1699523925781,98.3478698730469,98.5077209472656,98.6476440429688,98.7678527832031,99.4,98.5,99.0473556518555,99.1321105957031,99.2226791381836,99.3872769868445,99.7,99.5800399780273,99.7254028320313,99.8557586669922,99.7057805469021,99.9866180419922,99.9984893798828,100,100,100,100
"BWA","Botswana",16.827127456665,18.9592018127441,21.0759792327881,23.1744041442871,25.2514152526856,27.3054733276367,24.8,31.3644218444824,33.3814392089844,35.3982353210449,37.4208755493164,39.4554214477539,41.5079345703125,43.1,45.679027557373,47.7931137084961,53.24,52.0633392333984,54.2134704589844,56.3696098327637,58.528751373291,60.6883964538574,60.6883964538574
"BRA","Brazil",91.728598,92.867095,93.354139,94.193812,94.76296,94.4665679931641,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,98.883056640625,99.328691,99.519494,99.575151,99.650247,99.710902,100,100
"BRN","Brunei Darussalam",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"BGR","Bulgaria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"BFA","Burkina Faso",6.06873416900635,6.73579454421997,7.38755941390991,8.02097034454346,6.9,9.22201061248779,9.79264450073242,10.3509321212769,11.4,11.454719543457,12.0123443603516,12.5818758010864,13.1693744659424,13.7793941497803,14.4104413986206,13.1,15.7236022949219,16.3997077941895,17.0848274230957,19.2,18.4700813293457,19.1647129058838,19.1647129058838
"BDI","Burundi",2.01559138298035,2.32440948486328,2.61793184280396,3.9,3.14685392379761,3.37765550613403,3.59004735946655,3.79009222984314,3.9838535785675,4.1773943901062,3.20731707317073,4.58806562423706,4.81732225418091,4.8,5.3419041633606,5.3,5.93858003616333,6.5,6.58331918716431,7,7.25208950042725,7.58847713470459,7.58847713470459
"KHM","Cambodia",4.95864868164062,7.13599586486816,9.29804801940918,18.67,13.5640296936035,16.6,17.7442817687988,19.8128566741943,19.3,23.9372177124023,20.5,28.0849475860596,30.1827335357666,26.4,34.4443740844727,31.1,38.7781105041504,40.9645042419434,43.1599082946777,56.1,47.5657386779785,49.7706565856934,49.7706565856934
"CMR","Cameroon",36.1630668640137,37.3451614379883,38.5119590759277,40.7,40.7874374389648,41,46.2,44.0505065917969,45.1175422668457,47.1,47.257022857666,49,48.2,50.5691757202148,51.7152557373047,52.8793601989746,53.7,55.249626159668,56.4497795104981,56.8,58.8651008605957,60.0747680664063,60.0747680664063
"CAN","Canada",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"CPV","Cape Verde",,,,,,,,,,,,,,,,,,,,,,,
"CAF","Central African Republic",3,3.43502855300903,3.99285197257996,4.53232049942017,5.05037546157837,6,6.02217054367065,6.48651599884033,6.94457817077637,7.40241956710815,7.86610364913941,7.80516932525804,8.83524990081787,9.35132789611816,9.8884334564209,9.8,11.013710975647,11.5958757400513,12.1870517730713,12.7842359542847,13.3844232559204,13.9851121902466,13.9851121902466
"TCD","Chad",1.00354039669037,1.4197142124176,2.3,2.20311617851257,2.5642261505127,2.90238356590271,3.22213125228882,3.52953219413757,3.83064913749695,3.5,4.43828439712524,4.75692844390869,5.09354114532471,5.45267391204834,5.83283472061157,6.4,6.64422225952148,7.06944179534912,7.50367307662964,7.94391202926636,7.7,8.83089828491211,8.83089828491211
"CHL","Chile",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"CHN","China",94.3824157714844,94.7911224365235,95.1845321655273,95.5595932006836,95.9132308959961,96.2439270019531,96.5562057495117,96.8561401367187,97.149787902832,97.4432144165039,97.7424926757813,98.0668106079102,98.3987045288086,98.7499160766602,99.1156463623047,99.7,99.7487258911133,99.9163818359375,99.9831161499023,99.9984893798828,100,100,100
"COL","Colombia",91.2,92.6647720336914,93.012077331543,93.3410263061524,93.6485595703125,95.2,94.1993179321289,94.4531402587891,94.70068359375,94.9480056762695,96.8,95.4662399291992,95.7492752075195,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938,98.186898,99.0044555664063,99.0044555664063
"COM","Comoros",27.6020545959473,28.9,32.458610534668,34.8608856201172,37.2417488098145,39.5996589660645,41.9391593933105,44.8,46.5871810913086,48.9078330993652,51.2343215942383,53.5727195739746,55.929084777832,58.3079681396484,60.7078819274902,63.1258201599121,65.5587768554688,69.3,70.4577331542969,72.917724609375,75.3807144165039,77.8442153930664,77.8442153930664
"COG","Congo",8.66249561309814,10.9870653152466,13.2963399887085,15.5872592926025,17.8567657470703,20.1033191680908,22.3314628601074,24.5472602844238,26.7567729949951,28.966064453125,33.8,33.4082412719727,35.653247833252,37.9207763671875,37.1,42.5159149169922,44.8375129699707,41.6,49.5137557983399,51.8623924255371,60.4,56.5661697387695,56.5661697387695
