"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"AFG","Afghanistan",0.191230705617994,0.191229699326629,0.19266262087997,0.194095675665566,0.192361393170805,0.190626985382491,0.197181535394767,0.203753393607998,0.207849351149436,0.203190330230073,0.20410253808525,0.20067865827407,0.196634135629341,0.206789396954204,0.208086319790017,0.223492184139908,0.215321625172318,0.229209893743778,0.223739162726558,0.242623504317145,0.238519415655783,0.226650934784217,0.223919777222136
"ALB","Albania",0.303045355566996,0.303624829931337,0.302229471526684,0.300256352741258,0.30121237213941,0.301899645755001,0.307054441688529,0.312425459448289,0.310962006788883,0.318963142327412,0.315356216421379,0.325258523577837,0.334060559375361,0.345532263828832,0.412519315725342,0.424989291919734,0.424512889887168,0.423561114999393,0.430740050169175,0.439867801072558,0.45225081749205,0.437821224681934,0.435213424920267
"DZA","Algeria",0.237815429897779,0.238947690979718,0.237380685522932,0.236093614406793,0.239159198894643,0.242401851323516,0.248200792744293,0.25442760429624,0.259062218957771,0.266322961304946,0.281296397181666,0.279410137767364,0.274814074745069,0.27602529950915,0.268155128811756,0.266451390895384,0.260849447262893,0.258976214537716,0.267058758019636,0.260502836157067,0.264089870359638,0.268538362154143,0.275122537118404
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",0.146993162337481,0.146992624752815,0.140106029654702,0.133213733639955,0.133491489175545,0.13385628590493,0.147118510592772,0.160410777247595,0.177016318956669,0.179346260514599,0.188515570298077,0.20460371669073,0.20405284167153,0.210827351145457,0.215357015694758,0.217552098682109,0.215440301189563,0.221886318002676,0.224932868826288,0.225747727900613,0.223399814580766,0.226130661131761,0.225823961042494
"ATG","Antigua and Barbuda",0.471216845149128,0.471897846533411,0.473881709366152,0.475818642440912,0.477667262314079,0.480759890972594,0.481897322994525,0.486327549643779,0.49084085499956,0.493196233281885,0.487160686374766,0.49564551676457,0.492860235732775,0.499770304643946,0.503307006690912,0.500275840205866,0.492473080363317,0.504559341676733,0.496741629461117,0.446578897355479,0.454267575210737,0.448338578202748,0.435481521433893
"ARG","Argentina",0.388151441958384,0.390814137048639,0.386927988787395,0.384202282394176,0.38437570806419,0.386292991925262,0.359444070715996,0.34009936670437,0.351645413841221,0.354215131136172,0.380681943026875,0.387164881013626,0.393762855466667,0.385252617401906,0.380146776289079,0.387732706188012,0.388369023469985,0.377999968923355,0.369675810327146,0.370697247699549,0.374094005231492,0.400893531947416,0.406646543493876
"ARM","Armenia",0.388354739574632,0.384390381497489,0.379973609882885,0.392054356584035,0.397060855479343,0.398302624477796,0.404805603612469,0.421558218555,0.436093507541213,0.424530814407704,0.431073844228463,0.435303789084555,0.442133162085853,0.462530757177787,0.452148883930612,0.459351005104845,0.459203542043458,0.454251631090694,0.478386669688802,0.479688874398912,0.485222887760465,0.488481518083504,0.488837579354845
"AUS","Australia",0.659778910961989,0.664055473210204,0.668618021866043,0.674101137576195,0.681389725479129,0.689714564560851,0.695030670272053,0.697642141298142,0.702587358910465,0.710445634687695,0.70796074502835,0.718484484963531,0.720949121229792,0.723887833658646,0.713699642123709,0.713300821694816,0.716751657949363,0.717503265250877,0.723344358308807,0.713842433243038,0.711648489989747,0.717602572795035,0.714086573138651
"AUT","Austria",0.677507610748362,0.687176103073289,0.690518845061394,0.693308668228782,0.697529614278,0.701500234340575,0.709866916802386,0.716599189257973,0.714065836087759,0.718963456465473,0.720428742687989,0.723292541897908,0.729805656883277,0.723900709437435,0.705831217034256,0.701722996023671,0.701256956361611,0.702556682925311,0.712373375613595,0.724235100400768,0.724025229599686,0.720408043628233,0.722690349964676
"AZE","Azerbaijan",0.28495451496454,0.282622766949518,0.287820710979564,0.293520627502296,0.294363560693717,0.2949207678548,0.298799574094383,0.337335572459098,0.344372088532777,0.347474356151429,0.353038201613803,0.341646564367409,0.34309795511427,0.337848325226197,0.384376913796525,0.397798556172585,0.395540282159681,0.393193073629908,0.409282333023878,0.411001012759622,0.419938299247239,0.426913056847447,0.427482383471012
"BHS","Bahamas",0.455841520536145,0.456336834553445,0.460490086615841,0.464993598476671,0.468670416258895,0.47332765594103,0.476780968532019,0.482396602774948,0.479383455251216,0.481620975447167,0.480471330209017,0.473755937164064,0.475584665330887,0.477339793530723,0.466189841941376,0.458894302464375,0.459917633657351,0.462058764786722,0.450082187047784,0.442046044106053,0.436340243700961,0.432661150956656,0.430820788926173
