"ISO3","Name","Value","sign"
"AFG","Afghanistan","-0.000623410145617343","0"
"ALB","Albania","0.00262537398748967","0"
"DZA","Algeria","0.00253592741455832","0"
"AND","Andorra","",""
"AGO","Angola","0.000598105108447585","0"
"ATG","Antigua and Barbuda","-0.0137974164895465","-1"
"ARG","Argentina","0.0068652227212981","0"
"ARM","Armenia","0.00596423713904071","1"
"AUS","Australia","-0.00104293601016433","0"
"AUT","Austria","0.00355892766970473","0"
"AZE","Azerbaijan","0.00666502877611071","1"
"BHS","Bahamas","-0.00611882251375002","-1"
"BHR","Bahrain","-7.27093828134916e-05","0"
"BGD","Bangladesh","0.00117083405584838","0"
"BRB","Barbados","-0.00594303355440946","-1"
"BLR","Belarus","-0.00115421186562055","0"
"BEL","Belgium","-0.00318440672765894","-1"
"BLZ","Belize","-0.00365882506806455","-1"
"BEN","Benin","0.00239311737676542","0"
"BTN","Bhutan","0.00841841628341745","1"
"BOL","Bolivia, Plurinational State of","-0.00261663915559352","-1"
"BIH","Bosnia and Herzegovina","0.00437108314736206","0"
"BWA","Botswana","0.000809500650553913","0"
"BRA","Brazil","-0.000915899879519982","0"
"BRN","Brunei Darussalam","0.00394977987275215","0"
"BGR","Bulgaria","0.0024317443113666","1"
"BFA","Burkina Faso","0.000829376173441326","0"
"BDI","Burundi","0.000636204693466184","0"
"KHM","Cambodia","-0.00330242927298467","-1"
"CMR","Cameroon","0.00205826364880104","0"
"CAN","Canada","-0.00260592425599413","-1"
"CPV","Cape Verde","-0.00342516667229583","-1"
"CAF","Central African Republic","-0.0050998768590586","0"
"TCD","Chad","-0.00151678162172274","0"
"CHL","Chile","-0.00254957453658355","-1"
"CHN","China","0.00757906547833896","1"
"COL","Colombia","0.00829793227424499","1"
"COM","Comoros","0.00420445727984547","1"
"COG","Congo","0.000451493199050551","0"
"COD","Congo, the Democratic Republic o","0.0128248849592259","1"
"CRI","Costa Rica","0.00870035482120347","1"
"CIV","Cote d'Ivoire","0.0145301832171646","1"
"HRV","Croatia","0.00285559719562765","1"
"CUB","Cuba","0.000533405175284954","0"
"CYP","Cyprus","0.000934127616866627","0"
"CZE","Czech Republic","0.00628156320369373","1"
"DNK","Denmark","-0.000712388085175583","0"
"DJI","Djibouti","0.000524048512207802","0"
"DMA","Dominica","-0.00786686944861223","-1"
"DOM","Dominican Republic","0.00357255320432812","1"
"ECU","Ecuador","0.00537531857472455","1"
"EGY","Egypt","0.00204004208181124","0"
"SLV","El Salvador","-0.00279109706346856","-1"
